location-id,semantic-place
1010300041,SMUSISL3LOBBY
1010300042,SMUSISL3LOBBY
1010300043,SMUSISL3LOBBY
1010300044,SMUSISL3LOBBY
1010300045,SMUSISL3STUDYAREA1
1010300046,SMUSISL3STUDYAREA1
1010300047,SMUSISL3STUDYAREA2
1010300048,SMUSISL3STUDYAREA2
1010300049,SMUSISL3STUDYAREA2
1010300050,SMUSISL3STUDYAREA2
1010300051,SMUSISL3STUDYAREA2
1010300052,SMUSISL3STUDYAREA2
1010300053,SMUSISL3STUDYAREA2
1010300054,SMUSISL3STUDYAREA2
1010300055,SMUSISL3STUDYAREA2
1010300056,SMUSISL3STUDYAREA2
1010300057,SMUSISL3STUDYAREA2
1010300058,SMUSISL3STUDYAREA2
1010300059,SMUSISL3STUDYAREA2
1010300060,SMUSISL3STUDYAREA2
1010300061,SMUSISL3STUDYAREA2
1010300062,SMUSISL3STUDYAREA2
1010300063,SMUSISL3STUDYAREA2
1010300064,SMUSISL3STUDYAREA2
1010300065,SMUSISL3STUDYAREA2
1010300066,SMUSISL3STUDYAREA2
1010300067,SMUSISL3STUDYAREA2
1010300068,SMUSISL3STUDYAREA2
1010300069,SMUSISL3STUDYAREA2
1010300070,SMUSISL3STUDYAREA2
1010300071,SMUSISL3STUDYAREA2
1010300072,SMUSISL3STUDYAREA2
1010300073,SMUSISL3STUDYAREA2
1010300074,SMUSISL3SR3-4
1010300075,SMUSISL3SR3-4
1010300076,SMUSISL3SR3-4
1010300077,SMUSISL3SR3-4
1010300078,SMUSISL3SR3-4
1010300079,SMUSISL3SR3-4
1010300080,SMUSISL3SR3-4
1010300081,SMUSISL3SR3-4
1010300082,SMUSISL3SR3-4
1010300083,SMUSISL3SR3-4
1010300084,SMUSISL3SR3-4
1010300085,SMUSISL3SR3-4
1010300086,SMUSISL3SR3-4
1010300087,SMUSISL3SR3-4
1010300088,SMUSISL3SR3-4
1010300089,SMUSISL3CLSRM
1010300090,SMUSISL3CLSRM
1010300091,SMUSISL3CLSRM
1010300092,SMUSISL3CLSRM
1010300093,SMUSISL3CLSRM
1010300094,SMUSISL3CLSRM
1010300095,SMUSISL3CLSRM
1010300096,SMUSISL3CLSRM
1010300097,SMUSISL3CLSRM
1010300098,SMUSISL3CLSRM
1010300099,SMUSISL3CLSRM
1010300100,SMUSISL3CLSRM
1010300101,SMUSISL3SR3-3
1010300102,SMUSISL3SR3-3
1010300103,SMUSISL3SR3-3
1010300104,SMUSISL3SR3-3
1010300105,SMUSISL3SR3-3
1010300106,SMUSISL3SR3-3
1010300107,SMUSISL3SR3-3
1010300108,SMUSISL3SR3-3
1010300109,SMUSISL3SR3-3
1010300110,SMUSISL3SR3-3
1010300111,SMUSISL3SR3-3
1010300112,SMUSISL3SR3-2
1010300113,SMUSISL3SR3-2
1010300114,SMUSISL3SR3-2
1010300115,SMUSISL3SR3-2
1010300116,SMUSISL3SR3-2
1010300117,SMUSISL3SR3-2
1010300118,SMUSISL3SR3-2
1010300119,SMUSISL3SR3-2
1010300120,SMUSISL3SR3-2
1010300121,SMUSISL3SR3-2
1010300122,SMUSISL3SR3-2
1010300123,SMUSISL3SR3-1
1010300124,SMUSISL3SR3-1
1010300125,SMUSISL3SR3-1
1010300126,SMUSISL3SR3-1
1010300127,SMUSISL3SR3-1
1010300128,SMUSISL3SR3-1
1010300129,SMUSISL3SR3-1
1010300130,SMUSISL3SR3-1
1010300131,SMUSISL3SR3-1
1010300132,SMUSISL3SR3-1
1010300133,SMUSISL3SR3-1
1010300134,SMUSISL3SR3-1
